Team batting - 1997 Two-Fisted Slobbers
Regular season
Primary
Name	P	AVG	OBP	SPC	G	AB	H	2B	3B	HR	R	RBI	BB	K	HBP	IW	SB	CS
Delgado, W#	ss	.333	.500	.333	2	3	1	0	0	0	1	0	0	0	1	0	0	0
Greer, R*	lf	.323	.389	.466	121	440	142	27	6	8	75	62	46	39	5	3	16	2
Magadan, D*	3b	.320	.414	.320	10	25	8	0	0	0	4	2	4	2	0	0	0	0
Nixon, O#	cf	.316	.386	.350	96	351	111	7	1	1	67	26	38	29	2	1	59	26
Munoz, P	dh	.316	.316	.789	7	19	6	0	0	3	4	5	0	4	0	0	0	0
Lansing, M	2b	.301	.354	.393	160	662	199	34	3	7	103	65	44	50	13	0	45	14
Howard, T*	lf	.299	.323	.500	72	224	67	9	12	4	24	35	9	22	0	1	0	3
McGwire, M	1b	.298	.449	.760	136	466	139	18	4	63	120	130	126	89	8	30	0	1
Belle, A	lf	.288	.370	.501	160	621	179	32	2	32	111	132	80	61	7	3	35	4
Hollandsworth, T*	lf	.281	.344	.420	150	588	165	42	11	6	102	77	59	73	1	4	46	18
Arias, A	3b	.280	.309	.333	56	132	37	4	0	1	11	11	5	12	1	0	1	1
Palmer, D	3b	.245	.299	.457	159	641	157	21	2	37	90	102	43	118	8	1	0	1
Elster, K	ss	.230	.274	.417	145	530	122	23	2	24	64	72	29	113	4	1	11	6
Carter, J	lf	.228	.266	.371	65	224	51	6	1	8	21	24	10	30	2	0	1	5
Johnson, C	c 	.221	.278	.342	138	444	98	12	0	14	46	52	35	58	1	0	0	0
Strawberry, D*	lf	.190	.278	.342	22	79	15	3	0	3	12	10	10	17	0	0	5	1
Carr, C#	cf	.148	.207	.198	21	81	12	4	0	0	7	4	6	12	0	0	3	1
Matheny, M	c 	.104	.119	.104	56	106	11	0	0	0	4	3	2	20	0	0	0	0
Wehner, J	3b	.000	.000	.000	2	1	0	0	0	0	0	0	0	1	0	0	0	0
Pitchers	 	.000	.000	.000	162	1	0	0	0	0	0	0	0	0	0	0	0	1
Total	 	.270	.337	.440	162	5638	1520	242	44	211	866	812	546	750	53	44	222	84

Team pitching - 1997 Two-Fisted Slobbers
Regular season
Primary
Name	P	ERA	W	L	S	G	GS	CG	SHO	INN	H	R	ER	BB	K	HR	GDP	BF
Harris, P	mr	2.30	0	1	0	4	1	0	0	15.2	13	4	4	5	6	1	0	64
Jones, D	mr	2.45	1	3	7	25	0	0	0	36.2	35	11	10	3	26	5	2	147
Ayala, B	mr	2.95	3	6	7	42	0	0	0	55.0	44	20	18	12	29	9	8	215
Burba, D	sp	3.81	18	12	0	35	35	7	2	245.2	239	118	104	103	101	24	12	1055
Manuel, B	mr	3.90	2	3	0	15	0	0	0	30.0	22	13	13	11	6	5	2	115
Sele, A	sp	3.98	7	6	0	24	24	5	2	151.1	169	82	67	63	86	5	13	670
Ogea, C	sp	4.13	7	3	0	40	7	3	2	144.0	157	72	66	31	61	13	17	609
Burkett, J	sp	4.19	11	9	0	35	35	8	2	234.1	278	123	109	70	80	16	20	1034
Hanson, E	sp	4.35	14	5	0	28	28	4	0	196.2	213	108	95	71	90	20	22	851
Brandenburg, M	mr	4.37	5	4	1	25	0	0	0	45.1	47	25	22	17	26	7	4	200
Jones, B	sp	4.67	12	7	0	31	31	3	0	206.1	271	128	107	26	46	31	32	893
Worrell, T	cl	4.87	5	8	12	43	0	0	0	57.1	70	38	31	19	34	6	1	260
Fossas, T*	mr	4.91	0	0	0	2	0	0	0	3.2	7	2	2	0	1	0	1	16
Eckersley, D	cl	5.14	4	5	5	27	0	0	0	35.0	33	20	20	6	16	4	3	144
Assenmacher, P*	mr	6.00	0	0	0	2	0	0	0	3.0	4	2	2	0	2	0	0	15
Bere, J	sp	11.57	0	1	0	1	1	0	0	2.1	5	5	3	6	2	0	0	16
Total	 	4.14	89	73	32	162	162	30	9	1462.1	1607	771	673	443	612	146	137	6304
